2016-06-24 06:33:20 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2016-06-24 06:33:20 install dash:amd64 <none> 0.5.7-4ubuntu1
2016-06-24 06:33:20 status half-installed dash:amd64 0.5.7-4ubuntu1
2016-06-24 06:33:20 status unpacked dash:amd64 0.5.7-4ubuntu1
2016-06-24 06:33:20 status unpacked dash:amd64 0.5.7-4ubuntu1
2016-06-24 06:33:20 install debconf:all <none> 1.5.51ubuntu2
2016-06-24 06:33:20 status half-installed debconf:all 1.5.51ubuntu2
2016-06-24 06:33:20 status unpacked debconf:all 1.5.51ubuntu2
2016-06-24 06:33:20 status unpacked debconf:all 1.5.51ubuntu2
2016-06-24 06:33:20 install debianutils:amd64 <none> 4.4
2016-06-24 06:33:20 status half-installed debianutils:amd64 4.4
2016-06-24 06:33:20 status unpacked debianutils:amd64 4.4
2016-06-24 06:33:20 status unpacked debianutils:amd64 4.4
2016-06-24 06:33:20 install diffutils:amd64 <none> 1:3.3-1
2016-06-24 06:33:20 status half-installed diffutils:amd64 1:3.3-1
2016-06-24 06:33:20 status unpacked diffutils:amd64 1:3.3-1
2016-06-24 06:33:20 status unpacked diffutils:amd64 1:3.3-1
2016-06-24 06:33:20 upgrade dpkg:amd64 1.17.5ubuntu5 1.17.5ubuntu5
2016-06-24 06:33:20 status half-configured dpkg:amd64 1.17.5ubuntu5
2016-06-24 06:33:20 status unpacked dpkg:amd64 1.17.5ubuntu5
2016-06-24 06:33:20 status half-installed dpkg:amd64 1.17.5ubuntu5
2016-06-24 06:33:20 status half-installed dpkg:amd64 1.17.5ubuntu5
2016-06-24 06:33:20 status unpacked dpkg:amd64 1.17.5ubuntu5
2016-06-24 06:33:20 status unpacked dpkg:amd64 1.17.5ubuntu5
2016-06-24 06:33:20 install e2fslibs:amd64 <none> 1.42.9-3ubuntu1
2016-06-24 06:33:20 status half-installed e2fslibs:amd64 1.42.9-3ubuntu1
2016-06-24 06:33:20 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2016-06-24 06:33:20 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2016-06-24 06:33:20 install e2fsprogs:amd64 <none> 1.42.9-3ubuntu1
2016-06-24 06:33:20 status half-installed e2fsprogs:amd64 1.42.9-3ubuntu1
2016-06-24 06:33:20 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2016-06-24 06:33:20 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2016-06-24 06:33:20 install findutils:amd64 <none> 4.4.2-7
2016-06-24 06:33:20 status half-installed findutils:amd64 4.4.2-7
2016-06-24 06:33:20 status unpacked findutils:amd64 4.4.2-7
2016-06-24 06:33:20 status unpacked findutils:amd64 4.4.2-7
2016-06-24 06:33:20 install gcc-4.9-base:amd64 <none> 4.9-20140406-0ubuntu1
2016-06-24 06:33:20 status half-installed gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2016-06-24 06:33:21 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2016-06-24 06:33:21 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2016-06-24 06:33:21 install grep:amd64 <none> 2.16-1
2016-06-24 06:33:21 status half-installed grep:amd64 2.16-1
2016-06-24 06:33:21 status unpacked grep:amd64 2.16-1
2016-06-24 06:33:21 status unpacked grep:amd64 2.16-1
2016-06-24 06:33:21 install gzip:amd64 <none> 1.6-3ubuntu1
2016-06-24 06:33:21 status half-installed gzip:amd64 1.6-3ubuntu1
2016-06-24 06:33:21 status unpacked gzip:amd64 1.6-3ubuntu1
2016-06-24 06:33:21 status unpacked gzip:amd64 1.6-3ubuntu1
2016-06-24 06:33:21 install hostname:amd64 <none> 3.15ubuntu1
2016-06-24 06:33:21 status half-installed hostname:amd64 3.15ubuntu1
2016-06-24 06:33:21 status unpacked hostname:amd64 3.15ubuntu1
2016-06-24 06:33:21 status unpacked hostname:amd64 3.15ubuntu1
2016-06-24 06:33:21 install ifupdown:amd64 <none> 0.7.47.2ubuntu4
2016-06-24 06:33:21 status half-installed ifupdown:amd64 0.7.47.2ubuntu4
2016-06-24 06:33:21 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2016-06-24 06:33:21 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2016-06-24 06:33:21 install initramfs-tools:all <none> 0.103ubuntu4
2016-06-24 06:33:21 status half-installed initramfs-tools:all 0.103ubuntu4
2016-06-24 06:33:21 status unpacked initramfs-tools:all 0.103ubuntu4
2016-06-24 06:33:21 status unpacked initramfs-tools:all 0.103ubuntu4
2016-06-24 06:33:21 install initramfs-tools-bin:amd64 <none> 0.103ubuntu4
2016-06-24 06:33:21 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4
2016-06-24 06:33:21 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
2016-06-24 06:33:21 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
2016-06-24 06:33:21 install initscripts:amd64 <none> 2.88dsf-41ubuntu6
2016-06-24 06:33:21 status half-installed initscripts:amd64 2.88dsf-41ubuntu6
2016-06-24 06:33:21 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2016-06-24 06:33:21 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2016-06-24 06:33:21 install insserv:amd64 <none> 1.14.0-5ubuntu2
2016-06-24 06:33:21 status half-installed insserv:amd64 1.14.0-5ubuntu2
2016-06-24 06:33:21 status unpacked insserv:amd64 1.14.0-5ubuntu2
2016-06-24 06:33:21 status unpacked insserv:amd64 1.14.0-5ubuntu2
2016-06-24 06:33:21 install iproute2:amd64 <none> 3.12.0-2
2016-06-24 06:33:21 status half-installed iproute2:amd64 3.12.0-2
2016-06-24 06:33:21 status unpacked iproute2:amd64 3.12.0-2
2016-06-24 06:33:21 status unpacked iproute2:amd64 3.12.0-2
2016-06-24 06:33:21 install klibc-utils:amd64 <none> 2.0.3-0ubuntu1
2016-06-24 06:33:21 status half-installed klibc-utils:amd64 2.0.3-0ubuntu1
2016-06-24 06:33:21 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2016-06-24 06:33:21 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2016-06-24 06:33:21 install kmod:amd64 <none> 15-0ubuntu6
2016-06-24 06:33:21 status half-installed kmod:amd64 15-0ubuntu6
2016-06-24 06:33:21 status unpacked kmod:amd64 15-0ubuntu6
2016-06-24 06:33:21 status unpacked kmod:amd64 15-0ubuntu6
2016-06-24 06:33:21 install libacl1:amd64 <none> 2.2.52-1
2016-06-24 06:33:21 status half-installed libacl1:amd64 2.2.52-1
2016-06-24 06:33:21 status unpacked libacl1:amd64 2.2.52-1
2016-06-24 06:33:21 status unpacked libacl1:amd64 2.2.52-1
2016-06-24 06:33:21 install libattr1:amd64 <none> 1:2.4.47-1ubuntu1
2016-06-24 06:33:21 status half-installed libattr1:amd64 1:2.4.47-1ubuntu1
